id,timestamp,text_representation,core_message_bits
3,2025-06-01T22:59:18.351Z,asdzxc,0011001100111010011000010111001101100100011110100111100001100011,none
4,2025-06-01T22:59:51.929Z,qweasd,0011010000111010011100010111011101100101011000010111001101100100,none
5,2025-06-01T22:59:59.937Z,��!vsL,001101010011101011101111101111111011110111101111101111111011110100100001011101100111001101001100,jamming
6,2025-06-01T23:00:00.955Z,�dpg,001101100011101011101111101111111011110101100100011100000000110001100111,jamming
7,2025-06-01T23:00:10.476Z,qwec�d,00110111001110100111000101110111011001010110001111101111101111111011110101100100,noise
8,2025-06-01T23:00:11.995Z,ardz�c,00111000001110100110000101110010011001000111101011101111101111111011110101100011,noise
